Epoch= 0, Minibatch Loss= 18.335670, Training Accuracy= 0.22000
Epoch= 72, Minibatch Loss= 12.772394, Training Accuracy= 0.28000
Epoch= 73, Minibatch Loss= 13.337639, Training Accuracy= 0.24000
Epoch= 74, Minibatch Loss= 15.236694, Training Accuracy= 0.18000
Epoch= 75, Minibatch Loss= 13.894859, Training Accuracy= 0.14000
Epoch= 76, Minibatch Loss= 10.119220, Training Accuracy= 0.24000
Epoch= 77, Minibatch Loss= 10.078473, Training Accuracy= 0.32000
Epoch= 78, Minibatch Loss= 10.944361, Training Accuracy= 0.28000
Epoch= 79, Minibatch Loss= 11.666781, Training Accuracy= 0.24000
Epoch= 80, Minibatch Loss= 12.126640, Training Accuracy= 0.20000
Epoch= 81, Minibatch Loss= 11.461483, Training Accuracy= 0.28000
Epoch= 82, Minibatch Loss= 13.935644, Training Accuracy= 0.26000
Epoch= 83, Minibatch Loss= 12.522438, Training Accuracy= 0.28000
Epoch= 84, Minibatch Loss= 10.733362, Training Accuracy= 0.34000
Epoch= 85, Minibatch Loss= 12.731379, Training Accuracy= 0.16000
Epoch= 86, Minibatch Loss= 10.811943, Training Accuracy= 0.32000
Epoch= 87, Minibatch Loss= 10.188439, Training Accuracy= 0.26000
Epoch= 88, Minibatch Loss= 10.575325, Training Accuracy= 0.36000
Epoch= 89, Minibatch Loss= 11.359894, Training Accuracy= 0.38000
Epoch= 90, Minibatch Loss= 11.093490, Training Accuracy= 0.24000
Epoch= 91, Minibatch Loss= 11.059849, Training Accuracy= 0.32000
Epoch= 92, Minibatch Loss= 10.386993, Training Accuracy= 0.30000
Epoch= 93, Minibatch Loss= 10.616345, Training Accuracy= 0.26000
Epoch= 94, Minibatch Loss= 10.150064, Training Accuracy= 0.28000
Epoch= 95, Minibatch Loss= 8.718373, Training Accuracy= 0.28000
Epoch= 96, Minibatch Loss= 11.852684, Training Accuracy= 0.24000
Epoch= 97, Minibatch Loss= 9.111773, Training Accuracy= 0.24000
Epoch= 98, Minibatch Loss= 11.154789, Training Accuracy= 0.30000
Epoch= 99, Minibatch Loss= 13.036286, Training Accuracy= 0.14000
Epoch= 100, Minibatch Loss= 10.249555, Training Accuracy= 0.34000
Epoch= 101, Minibatch Loss= 13.384442, Training Accuracy= 0.26000
Epoch= 102, Minibatch Loss= 12.035308, Training Accuracy= 0.16000
Epoch= 103, Minibatch Loss= 12.617836, Training Accuracy= 0.14000
Epoch= 104, Minibatch Loss= 13.055944, Training Accuracy= 0.22000
Epoch= 105, Minibatch Loss= 12.331216, Training Accuracy= 0.22000
Epoch= 106, Minibatch Loss= 9.308215, Training Accuracy= 0.32000
Epoch= 107, Minibatch Loss= 10.537558, Training Accuracy= 0.36000
Epoch= 108, Minibatch Loss= 11.115634, Training Accuracy= 0.30000
Epoch= 109, Minibatch Loss= 12.191233, Training Accuracy= 0.26000
Epoch= 110, Minibatch Loss= 11.583766, Training Accuracy= 0.20000
Epoch= 111, Minibatch Loss= 10.886454, Training Accuracy= 0.32000
Epoch= 112, Minibatch Loss= 10.549125, Training Accuracy= 0.36000
Epoch= 113, Minibatch Loss= 13.600142, Training Accuracy= 0.10000
Epoch= 114, Minibatch Loss= 11.271658, Training Accuracy= 0.36000
Epoch= 115, Minibatch Loss= 10.914332, Training Accuracy= 0.36000
Epoch= 116, Minibatch Loss= 10.208876, Training Accuracy= 0.34000
Epoch= 117, Minibatch Loss= 10.807287, Training Accuracy= 0.30000
Epoch= 118, Minibatch Loss= 11.991891, Training Accuracy= 0.20000
Epoch= 119, Minibatch Loss= 13.632386, Training Accuracy= 0.24000
Epoch= 120, Minibatch Loss= 12.588162, Training Accuracy= 0.20000
Epoch= 121, Minibatch Loss= 14.635853, Training Accuracy= 0.24000
Epoch= 122, Minibatch Loss= 13.276908, Training Accuracy= 0.16000
Epoch= 123, Minibatch Loss= 11.330216, Training Accuracy= 0.28000
Epoch= 124, Minibatch Loss= 13.534218, Training Accuracy= 0.18000
Epoch= 125, Minibatch Loss= 12.552324, Training Accuracy= 0.24000
Epoch= 126, Minibatch Loss= 13.954669, Training Accuracy= 0.18000
Epoch= 127, Minibatch Loss= 12.188901, Training Accuracy= 0.20000
Epoch= 128, Minibatch Loss= 12.083680, Training Accuracy= 0.28000
Epoch= 129, Minibatch Loss= 12.822445, Training Accuracy= 0.24000
Epoch= 130, Minibatch Loss= 10.815020, Training Accuracy= 0.26000
Epoch= 131, Minibatch Loss= 15.745147, Training Accuracy= 0.16000
Epoch= 132, Minibatch Loss= 11.382530, Training Accuracy= 0.18000
Epoch= 133, Minibatch Loss= 12.833205, Training Accuracy= 0.20000
Epoch= 134, Minibatch Loss= 10.163743, Training Accuracy= 0.20000
Epoch= 135, Minibatch Loss= 10.829266, Training Accuracy= 0.18000
Epoch= 136, Minibatch Loss= 10.773557, Training Accuracy= 0.28000
Epoch= 137, Minibatch Loss= 11.336906, Training Accuracy= 0.26000
Epoch= 138, Minibatch Loss= 11.492650, Training Accuracy= 0.24000
Epoch= 139, Minibatch Loss= 10.974157, Training Accuracy= 0.24000
Epoch= 140, Minibatch Loss= 9.217888, Training Accuracy= 0.38000
Epoch= 141, Minibatch Loss= 10.612283, Training Accuracy= 0.28000
Epoch= 142, Minibatch Loss= 10.740840, Training Accuracy= 0.28000
Epoch= 143, Minibatch Loss= 13.949912, Training Accuracy= 0.24000
Epoch= 144, Minibatch Loss= 11.719707, Training Accuracy= 0.24000
Epoch= 145, Minibatch Loss= 10.111353, Training Accuracy= 0.32000
Epoch= 146, Minibatch Loss= 9.183074, Training Accuracy= 0.30000
Epoch= 147, Minibatch Loss= 10.851599, Training Accuracy= 0.28000
Epoch= 148, Minibatch Loss= 9.436739, Training Accuracy= 0.32000
Epoch= 149, Minibatch Loss= 11.225951, Training Accuracy= 0.26000
Epoch= 150, Minibatch Loss= 10.829699, Training Accuracy= 0.26000
Epoch= 151, Minibatch Loss= 15.600106, Training Accuracy= 0.18000
Epoch= 152, Minibatch Loss= 12.911341, Training Accuracy= 0.20000
Epoch= 153, Minibatch Loss= 12.463574, Training Accuracy= 0.26000
Epoch= 154, Minibatch Loss= 12.741851, Training Accuracy= 0.22000
Epoch= 155, Minibatch Loss= 11.632214, Training Accuracy= 0.28000
Epoch= 156, Minibatch Loss= 11.053694, Training Accuracy= 0.22000
Epoch= 157, Minibatch Loss= 8.766191, Training Accuracy= 0.26000
Epoch= 158, Minibatch Loss= 11.952672, Training Accuracy= 0.28000
Epoch= 159, Minibatch Loss= 13.128814, Training Accuracy= 0.26000
Epoch= 160, Minibatch Loss= 13.795599, Training Accuracy= 0.16000
Epoch= 161, Minibatch Loss= 11.584131, Training Accuracy= 0.24000
Epoch= 162, Minibatch Loss= 9.814712, Training Accuracy= 0.28000
Epoch= 163, Minibatch Loss= 13.017800, Training Accuracy= 0.18000
Epoch= 164, Minibatch Loss= 12.136395, Training Accuracy= 0.18000
Epoch= 165, Minibatch Loss= 11.637043, Training Accuracy= 0.22000
Epoch= 166, Minibatch Loss= 11.739613, Training Accuracy= 0.28000
Epoch= 167, Minibatch Loss= 13.440038, Training Accuracy= 0.16000
Epoch= 168, Minibatch Loss= 12.330082, Training Accuracy= 0.22000
Epoch= 169, Minibatch Loss= 11.477876, Training Accuracy= 0.22000
Epoch= 170, Minibatch Loss= 9.975962, Training Accuracy= 0.34000
Epoch= 171, Minibatch Loss= 11.837566, Training Accuracy= 0.24000
Epoch= 172, Minibatch Loss= 12.752595, Training Accuracy= 0.22000
Epoch= 173, Minibatch Loss= 9.701618, Training Accuracy= 0.24000
Epoch= 174, Minibatch Loss= 12.741167, Training Accuracy= 0.10000
Epoch= 175, Minibatch Loss= 10.142335, Training Accuracy= 0.28000
Epoch= 176, Minibatch Loss= 11.784972, Training Accuracy= 0.28000
Epoch= 177, Minibatch Loss= 11.736212, Training Accuracy= 0.30000
Epoch= 178, Minibatch Loss= 9.324018, Training Accuracy= 0.34000
Epoch= 179, Minibatch Loss= 11.271388, Training Accuracy= 0.24000
Epoch= 180, Minibatch Loss= 9.838787, Training Accuracy= 0.26000
Epoch= 181, Minibatch Loss= 11.609697, Training Accuracy= 0.24000
Epoch= 182, Minibatch Loss= 11.903830, Training Accuracy= 0.26000
Epoch= 183, Minibatch Loss= 12.259765, Training Accuracy= 0.28000
Epoch= 184, Minibatch Loss= 10.687844, Training Accuracy= 0.28000
Epoch= 185, Minibatch Loss= 12.859580, Training Accuracy= 0.26000
Epoch= 186, Minibatch Loss= 9.805302, Training Accuracy= 0.36000
Epoch= 187, Minibatch Loss= 12.432350, Training Accuracy= 0.24000
Epoch= 188, Minibatch Loss= 9.468530, Training Accuracy= 0.26000
Epoch= 189, Minibatch Loss= 12.052021, Training Accuracy= 0.20000
Epoch= 190, Minibatch Loss= 10.713010, Training Accuracy= 0.30000
Epoch= 191, Minibatch Loss= 11.579180, Training Accuracy= 0.28000
Epoch= 192, Minibatch Loss= 11.350099, Training Accuracy= 0.20000
Epoch= 193, Minibatch Loss= 12.538606, Training Accuracy= 0.18000
Epoch= 194, Minibatch Loss= 12.446373, Training Accuracy= 0.24000
Epoch= 195, Minibatch Loss= 9.854274, Training Accuracy= 0.32000
Epoch= 196, Minibatch Loss= 11.666644, Training Accuracy= 0.28000
Epoch= 197, Minibatch Loss= 11.308429, Training Accuracy= 0.36000
Epoch= 198, Minibatch Loss= 11.063667, Training Accuracy= 0.32000
Epoch= 199, Minibatch Loss= 10.894117, Training Accuracy= 0.26000
Epoch= 200, Minibatch Loss= 9.906353, Training Accuracy= 0.30000
Epoch= 201, Minibatch Loss= 11.699024, Training Accuracy= 0.24000
Epoch= 202, Minibatch Loss= 14.837447, Training Accuracy= 0.18000
Epoch= 203, Minibatch Loss= 9.153155, Training Accuracy= 0.24000
Epoch= 204, Minibatch Loss= 12.614188, Training Accuracy= 0.28000
Epoch= 205, Minibatch Loss= 10.936704, Training Accuracy= 0.30000
Epoch= 206, Minibatch Loss= 10.571938, Training Accuracy= 0.24000
Epoch= 207, Minibatch Loss= 12.013358, Training Accuracy= 0.10000
Epoch= 208, Minibatch Loss= 11.529876, Training Accuracy= 0.18000
Epoch= 209, Minibatch Loss= 10.740867, Training Accuracy= 0.24000
Epoch= 210, Minibatch Loss= 9.612759, Training Accuracy= 0.30000
Epoch= 211, Minibatch Loss= 9.678853, Training Accuracy= 0.20000
Epoch= 212, Minibatch Loss= 11.570819, Training Accuracy= 0.28000
Epoch= 213, Minibatch Loss= 11.171622, Training Accuracy= 0.30000
Epoch= 214, Minibatch Loss= 11.238738, Training Accuracy= 0.26000
Epoch= 215, Minibatch Loss= 13.059365, Training Accuracy= 0.24000
Epoch= 216, Minibatch Loss= 10.947570, Training Accuracy= 0.30000
Epoch= 217, Minibatch Loss= 8.878292, Training Accuracy= 0.32000
Epoch= 218, Minibatch Loss= 12.356952, Training Accuracy= 0.20000
Epoch= 219, Minibatch Loss= 8.434079, Training Accuracy= 0.26000
Epoch= 220, Minibatch Loss= 11.570706, Training Accuracy= 0.26000
Epoch= 221, Minibatch Loss= 14.202410, Training Accuracy= 0.24000
Epoch= 222, Minibatch Loss= 12.401268, Training Accuracy= 0.16000
Epoch= 223, Minibatch Loss= 12.749550, Training Accuracy= 0.18000
Epoch= 224, Minibatch Loss= 9.415977, Training Accuracy= 0.28000
Epoch= 225, Minibatch Loss= 10.622684, Training Accuracy= 0.22000
Epoch= 226, Minibatch Loss= 10.631265, Training Accuracy= 0.30000
Epoch= 227, Minibatch Loss= 15.646865, Training Accuracy= 0.18000
Epoch= 228, Minibatch Loss= 9.769023, Training Accuracy= 0.30000
Epoch= 229, Minibatch Loss= 11.556410, Training Accuracy= 0.22000
Epoch= 230, Minibatch Loss= 10.784277, Training Accuracy= 0.26000
Epoch= 231, Minibatch Loss= 9.767137, Training Accuracy= 0.28000
Epoch= 232, Minibatch Loss= 11.854322, Training Accuracy= 0.34000
Epoch= 233, Minibatch Loss= 8.964315, Training Accuracy= 0.20000
Epoch= 234, Minibatch Loss= 10.799694, Training Accuracy= 0.28000
Epoch= 235, Minibatch Loss= 11.805022, Training Accuracy= 0.24000
Epoch= 236, Minibatch Loss= 10.397346, Training Accuracy= 0.24000
Epoch= 237, Minibatch Loss= 10.969221, Training Accuracy= 0.26000
Epoch= 238, Minibatch Loss= 10.196839, Training Accuracy= 0.30000
Epoch= 239, Minibatch Loss= 10.095159, Training Accuracy= 0.26000
Epoch= 240, Minibatch Loss= 9.572633, Training Accuracy= 0.34000
Epoch= 241, Minibatch Loss= 9.717740, Training Accuracy= 0.32000
Epoch= 242, Minibatch Loss= 13.885447, Training Accuracy= 0.18000
Epoch= 243, Minibatch Loss= 9.458392, Training Accuracy= 0.34000
Epoch= 244, Minibatch Loss= 10.720492, Training Accuracy= 0.22000
Epoch= 245, Minibatch Loss= 11.027408, Training Accuracy= 0.28000
Epoch= 246, Minibatch Loss= 12.100773, Training Accuracy= 0.26000
Epoch= 247, Minibatch Loss= 11.695543, Training Accuracy= 0.24000
Epoch= 248, Minibatch Loss= 13.486070, Training Accuracy= 0.24000
Epoch= 249, Minibatch Loss= 10.982874, Training Accuracy= 0.30000
Epoch= 250, Minibatch Loss= 8.900132, Training Accuracy= 0.32000
Epoch= 251, Minibatch Loss= 10.496624, Training Accuracy= 0.24000
Epoch= 252, Minibatch Loss= 10.247232, Training Accuracy= 0.22000
Epoch= 253, Minibatch Loss= 12.413455, Training Accuracy= 0.28000
Epoch= 254, Minibatch Loss= 13.003696, Training Accuracy= 0.22000
Epoch= 255, Minibatch Loss= 13.052566, Training Accuracy= 0.16000
Epoch= 256, Minibatch Loss= 13.203757, Training Accuracy= 0.26000
Epoch= 257, Minibatch Loss= 10.230426, Training Accuracy= 0.24000
Epoch= 258, Minibatch Loss= 8.590821, Training Accuracy= 0.32000
Epoch= 259, Minibatch Loss= 11.335297, Training Accuracy= 0.30000
Epoch= 260, Minibatch Loss= 9.740345, Training Accuracy= 0.26000
Epoch= 261, Minibatch Loss= 10.359195, Training Accuracy= 0.14000
Epoch= 262, Minibatch Loss= 14.036123, Training Accuracy= 0.08000
Epoch= 263, Minibatch Loss= 9.565660, Training Accuracy= 0.32000
Epoch= 264, Minibatch Loss= 12.820083, Training Accuracy= 0.20000
Epoch= 265, Minibatch Loss= 10.584214, Training Accuracy= 0.26000
Epoch= 266, Minibatch Loss= 11.640663, Training Accuracy= 0.22000
Epoch= 267, Minibatch Loss= 9.804800, Training Accuracy= 0.26000
Epoch= 268, Minibatch Loss= 8.925815, Training Accuracy= 0.36000
Epoch= 269, Minibatch Loss= 10.124960, Training Accuracy= 0.20000
Epoch= 270, Minibatch Loss= 9.972340, Training Accuracy= 0.34000
Epoch= 271, Minibatch Loss= 10.006959, Training Accuracy= 0.34000
Epoch= 272, Minibatch Loss= 11.979283, Training Accuracy= 0.22000
Epoch= 273, Minibatch Loss= 12.214404, Training Accuracy= 0.18000
Epoch= 274, Minibatch Loss= 11.735106, Training Accuracy= 0.28000
Epoch= 275, Minibatch Loss= 10.396101, Training Accuracy= 0.28000
Epoch= 276, Minibatch Loss= 10.869213, Training Accuracy= 0.22000
Epoch= 277, Minibatch Loss= 11.147259, Training Accuracy= 0.36000
Epoch= 278, Minibatch Loss= 11.080646, Training Accuracy= 0.22000
Epoch= 279, Minibatch Loss= 14.266101, Training Accuracy= 0.14000
Epoch= 280, Minibatch Loss= 11.815155, Training Accuracy= 0.28000
Epoch= 281, Minibatch Loss= 11.418258, Training Accuracy= 0.18000
Epoch= 282, Minibatch Loss= 10.760445, Training Accuracy= 0.30000
Epoch= 283, Minibatch Loss= 12.948203, Training Accuracy= 0.20000
Epoch= 284, Minibatch Loss= 13.221225, Training Accuracy= 0.18000
Epoch= 285, Minibatch Loss= 9.045491, Training Accuracy= 0.24000
Epoch= 286, Minibatch Loss= 11.827363, Training Accuracy= 0.24000
Epoch= 287, Minibatch Loss= 10.481861, Training Accuracy= 0.20000
Epoch= 288, Minibatch Loss= 12.268782, Training Accuracy= 0.32000
Epoch= 289, Minibatch Loss= 10.329333, Training Accuracy= 0.20000
Epoch= 290, Minibatch Loss= 12.932812, Training Accuracy= 0.16000
Epoch= 291, Minibatch Loss= 11.659636, Training Accuracy= 0.28000
Epoch= 292, Minibatch Loss= 9.994133, Training Accuracy= 0.28000
Epoch= 293, Minibatch Loss= 10.803561, Training Accuracy= 0.24000
Epoch= 294, Minibatch Loss= 7.168064, Training Accuracy= 0.40000
Epoch= 295, Minibatch Loss= 10.561354, Training Accuracy= 0.22000
Epoch= 296, Minibatch Loss= 8.037497, Training Accuracy= 0.26000
Epoch= 297, Minibatch Loss= 9.838925, Training Accuracy= 0.30000
Epoch= 298, Minibatch Loss= 10.131326, Training Accuracy= 0.30000
Epoch= 299, Minibatch Loss= 11.036381, Training Accuracy= 0.30000
Epoch= 300, Minibatch Loss= 10.354465, Training Accuracy= 0.28000
Epoch= 301, Minibatch Loss= 12.334690, Training Accuracy= 0.18000
Epoch= 302, Minibatch Loss= 10.242419, Training Accuracy= 0.22000
Epoch= 303, Minibatch Loss= 9.611732, Training Accuracy= 0.28000
Epoch= 304, Minibatch Loss= 9.815454, Training Accuracy= 0.16000
Epoch= 305, Minibatch Loss= 9.659549, Training Accuracy= 0.32000
Epoch= 306, Minibatch Loss= 12.311146, Training Accuracy= 0.22000
Epoch= 307, Minibatch Loss= 8.813509, Training Accuracy= 0.28000
Epoch= 308, Minibatch Loss= 9.512599, Training Accuracy= 0.22000
Epoch= 309, Minibatch Loss= 9.900248, Training Accuracy= 0.20000
Epoch= 310, Minibatch Loss= 13.230133, Training Accuracy= 0.12000
Epoch= 311, Minibatch Loss= 10.612632, Training Accuracy= 0.28000
Epoch= 312, Minibatch Loss= 9.511212, Training Accuracy= 0.30000
Epoch= 313, Minibatch Loss= 12.411934, Training Accuracy= 0.22000
Epoch= 314, Minibatch Loss= 11.287694, Training Accuracy= 0.32000
Epoch= 315, Minibatch Loss= 11.569335, Training Accuracy= 0.22000
Epoch= 316, Minibatch Loss= 11.642710, Training Accuracy= 0.28000
Epoch= 317, Minibatch Loss= 11.613409, Training Accuracy= 0.18000
Epoch= 318, Minibatch Loss= 13.929066, Training Accuracy= 0.24000
Epoch= 319, Minibatch Loss= 10.710010, Training Accuracy= 0.28000
Epoch= 320, Minibatch Loss= 10.248081, Training Accuracy= 0.36000
Epoch= 321, Minibatch Loss= 10.289906, Training Accuracy= 0.22000
Epoch= 322, Minibatch Loss= 9.340132, Training Accuracy= 0.28000
Epoch= 323, Minibatch Loss= 11.748191, Training Accuracy= 0.22000
Epoch= 324, Minibatch Loss= 10.405514, Training Accuracy= 0.26000
Epoch= 325, Minibatch Loss= 10.340669, Training Accuracy= 0.24000
Epoch= 326, Minibatch Loss= 12.245928, Training Accuracy= 0.24000
Epoch= 327, Minibatch Loss= 11.166040, Training Accuracy= 0.28000
Epoch= 328, Minibatch Loss= 12.230433, Training Accuracy= 0.18000
Epoch= 329, Minibatch Loss= 9.983530, Training Accuracy= 0.28000
Epoch= 330, Minibatch Loss= 10.123303, Training Accuracy= 0.28000
Epoch= 331, Minibatch Loss= 10.769932, Training Accuracy= 0.30000
Epoch= 332, Minibatch Loss= 10.227276, Training Accuracy= 0.26000
Epoch= 333, Minibatch Loss= 13.684988, Training Accuracy= 0.14000
Epoch= 334, Minibatch Loss= 10.644138, Training Accuracy= 0.22000
Epoch= 335, Minibatch Loss= 11.608407, Training Accuracy= 0.30000
Epoch= 336, Minibatch Loss= 10.640561, Training Accuracy= 0.30000
Epoch= 337, Minibatch Loss= 9.274598, Training Accuracy= 0.16000
Epoch= 338, Minibatch Loss= 7.378619, Training Accuracy= 0.24000
Epoch= 339, Minibatch Loss= 9.372969, Training Accuracy= 0.26000
Epoch= 340, Minibatch Loss= 11.760747, Training Accuracy= 0.14000
Epoch= 341, Minibatch Loss= 7.894705, Training Accuracy= 0.28000
Epoch= 342, Minibatch Loss= 11.414550, Training Accuracy= 0.28000
Epoch= 343, Minibatch Loss= 10.478039, Training Accuracy= 0.34000
Epoch= 344, Minibatch Loss= 10.463840, Training Accuracy= 0.22000
Epoch= 345, Minibatch Loss= 7.864660, Training Accuracy= 0.32000
Epoch= 346, Minibatch Loss= 11.241183, Training Accuracy= 0.26000
Epoch= 347, Minibatch Loss= 14.328757, Training Accuracy= 0.12000
Epoch= 348, Minibatch Loss= 12.063416, Training Accuracy= 0.22000
Epoch= 349, Minibatch Loss= 11.550759, Training Accuracy= 0.26000
Epoch= 350, Minibatch Loss= 9.746339, Training Accuracy= 0.28000
Epoch= 351, Minibatch Loss= 8.001715, Training Accuracy= 0.34000
Epoch= 352, Minibatch Loss= 9.170472, Training Accuracy= 0.24000
Epoch= 353, Minibatch Loss= 11.281833, Training Accuracy= 0.20000
Epoch= 354, Minibatch Loss= 11.914423, Training Accuracy= 0.14000
Epoch= 355, Minibatch Loss= 10.202521, Training Accuracy= 0.34000
Epoch= 356, Minibatch Loss= 8.918302, Training Accuracy= 0.30000
Epoch= 357, Minibatch Loss= 10.940021, Training Accuracy= 0.26000
Epoch= 358, Minibatch Loss= 10.366707, Training Accuracy= 0.22000
Epoch= 359, Minibatch Loss= 10.211094, Training Accuracy= 0.24000
Epoch= 360, Minibatch Loss= 11.391406, Training Accuracy= 0.28000
Epoch= 361, Minibatch Loss= 13.758749, Training Accuracy= 0.14000
Epoch= 362, Minibatch Loss= 10.135717, Training Accuracy= 0.38000
Epoch= 363, Minibatch Loss= 9.093063, Training Accuracy= 0.32000
Epoch= 364, Minibatch Loss= 9.439735, Training Accuracy= 0.28000
Epoch= 365, Minibatch Loss= 11.426116, Training Accuracy= 0.28000
Epoch= 366, Minibatch Loss= 12.086244, Training Accuracy= 0.24000
Epoch= 367, Minibatch Loss= 9.281569, Training Accuracy= 0.30000
Epoch= 368, Minibatch Loss= 9.213340, Training Accuracy= 0.28000
Epoch= 369, Minibatch Loss= 10.348941, Training Accuracy= 0.34000
Epoch= 370, Minibatch Loss= 10.658993, Training Accuracy= 0.28000
Epoch= 371, Minibatch Loss= 12.408708, Training Accuracy= 0.24000
Epoch= 372, Minibatch Loss= 9.471775, Training Accuracy= 0.28000
Epoch= 373, Minibatch Loss= 10.176355, Training Accuracy= 0.32000
Epoch= 374, Minibatch Loss= 9.116142, Training Accuracy= 0.32000
Epoch= 375, Minibatch Loss= 9.628510, Training Accuracy= 0.30000
